 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  Name                                              Method     Scheme   Host   Path                                                                                                                                                                                                                                                                                                      Controller                                            
  app_article_grid                                  ANY        ANY      ANY    /articleGrid                                                                                                                                                                                                                                                                                              AppBundle:Article:indexGrid                           
  app_article_add                                   ANY        ANY      ANY    /article/add                                                                                                                                                                                                                                                                                              AppBundle:Article:add                                 
  app_article_update                                ANY        ANY      ANY    /article/update/{id}                                                                                                                                                                                                                                                                                      AppBundle:Article:update                              
  app_article_delete                                ANY        ANY      ANY    /article/delete/{id}                                                                                                                                                                                                                                                                                      AppBundle:Article:delete                              
  app_article_activate                              ANY        ANY      ANY    /article/activate/{id}                                                                                                                                                                                                                                                                                    AppBundle:Article:activate                            
  app_article                                       ANY        ANY      ANY    /article/{type}                                                                                                                                                                                                                                                                                           AppBundle:Article:index                               
  app_article_view                                  ANY        ANY      ANY    /article/view/{id}                                                                                                                                                                                                                                                                                        AppBundle:Article:view                                
  app_project                                       ANY        ANY      ANY    /project                                                                                                                                                                                                                                                                                                  AppBundle:Project:index                               
  app_project_grid                                  ANY        ANY      ANY    /projectGrid                                                                                                                                                                                                                                                                                              AppBundle:Project:indexGrid                           
  app_project_add                                   ANY        ANY      ANY    /project/add                                                                                                                                                                                                                                                                                              AppBundle:Project:add                                 
  app_project_update                                ANY        ANY      ANY    /project/update/{id}                                                                                                                                                                                                                                                                                      AppBundle:Project:update                              
  app_project_delete                                ANY        ANY      ANY    /project/delete/{id}                                                                                                                                                                                                                                                                                      AppBundle:Project:delete                              
  app_project_activate                              ANY        ANY      ANY    /project/activate/{id}                                                                                                                                                                                                                                                                                    AppBundle:Project:activate                            
  app_project_view                                  ANY        ANY      ANY    /project/view/{id}                                                                                                                                                                                                                                                                                        AppBundle:Project:view                                
  app_event                                         ANY        ANY      ANY    /event                                                                                                                                                                                                                                                                                                    AppBundle:Event:index                                 
  app_event_grid                                    ANY        ANY      ANY    /eventGrid                                                                                                                                                                                                                                                                                                AppBundle:Event:indexGrid                             
  app_event_add                                     ANY        ANY      ANY    /event/add/{personnalized}                                                                                                                                                                                                                                                                                AppBundle:Event:add                                   
  app_event_update                                  ANY        ANY      ANY    /event/update/{id}                                                                                                                                                                                                                                                                                        AppBundle:Event:update                                
  app_event_delete                                  ANY        ANY      ANY    /event/delete/{id}                                                                                                                                                                                                                                                                                        AppBundle:Event:delete                                
  app_event_activate                                ANY        ANY      ANY    /event/activate/{id}                                                                                                                                                                                                                                                                                      AppBundle:Event:activate                              
  app_event_moderate                                ANY        ANY      ANY    /event/moderate/{id}                                                                                                                                                                                                                                                                                      AppBundle:Event:moderate                              
  app_event_view                                    ANY        ANY      ANY    /event/view/{id}                                                                                                                                                                                                                                                                                          AppBundle:Event:view                                  
  app_event_personalized                            ANY        ANY      ANY    /event/personalized                                                                                                                                                                                                                                                                                       AppBundle:Event:personalized                          
  app_push                                          ANY        ANY      ANY    /push                                                                                                                                                                                                                                                                                                     AppBundle:Push:index                                  
  app_push_grid                                     ANY        ANY      ANY    /pushGrid                                                                                                                                                                                                                                                                                                 AppBundle:Push:indexGrid                              
  app_push_update                                   ANY        ANY      ANY    /push/update/{id}                                                                                                                                                                                                                                                                                         AppBundle:Push:update                                 
  app_push_delete                                   ANY        ANY      ANY    /push/delete/{id}                                                                                                                                                                                                                                                                                         AppBundle:Push:delete                                 
  app_push_cityhall                                 ANY        ANY      ANY    /push/cityhall                                                                                                                                                                                                                                                                                            AppBundle:Push:cityhall                               
  app_push_cityhall_grid                            ANY        ANY      ANY    /pushCityhallGrid                                                                                                                                                                                                                                                                                         AppBundle:Push:cityhallGrid                           
  app_push_cityhall_add                             ANY        ANY      ANY    /push/cityhall/add                                                                                                                                                                                                                                                                                        AppBundle:Push:addCityhall                            
  app_push_cityhall_update                          ANY        ANY      ANY    /push/cityhall/update/{id}                                                                                                                                                                                                                                                                                AppBundle:Push:updateCityhall                         
  app_push_cityhall_delete                          ANY        ANY      ANY    /push/cityhall/delete/{id}                                                                                                                                                                                                                                                                                AppBundle:Push:deleteCityhall                         
  app_user                                          ANY        ANY      ANY    /user                                                                                                                                                                                                                                                                                                     AppBundle:User:index                                  
  app_user_grid                                     ANY        ANY      ANY    /userGrid                                                                                                                                                                                                                                                                                                 AppBundle:User:indexGrid                              
  app_user_cityhall                                 ANY        ANY      ANY    /user/cityhall                                                                                                                                                                                                                                                                                            AppBundle:User:indexCityhall                          
  app_user_cityhall_grid                            ANY        ANY      ANY    /userCityhallGrid                                                                                                                                                                                                                                                                                         AppBundle:User:indexCityhallGrid                      
  app_user_enable                                   ANY        ANY      ANY    /user/enable/{id}                                                                                                                                                                                                                                                                                         AppBundle:User:enableUser                             
  app_user_update                                   ANY        ANY      ANY    /user/update/{id}                                                                                                                                                                                                                                                                                         AppBundle:User:update                                 
  app_user_report                                   ANY        ANY      ANY    /user/report/{id}                                                                                                                                                                                                                                                                                         AppBundle:User:report                                 
  app_user_cityhall_add                             ANY        ANY      ANY    /usercityhall/add                                                                                                                                                                                                                                                                                         AppBundle:User:addCityhall                            
  app_user_cityhall_update                          ANY        ANY      ANY    /user/cityhall/update/{id}                                                                                                                                                                                                                                                                                AppBundle:User:updateCityhall                         
  app_user_cityhall_access                          ANY        ANY      ANY    /user/cityhall/access/{id}                                                                                                                                                                                                                                                                                AppBundle:User:accessCityhallhall                     
  app_user_cityhall_delete                          ANY        ANY      ANY    /user/cityhall/delete/{id}                                                                                                                                                                                                                                                                                AppBundle:User:deleteCityhall                         
  app_user_delete                                   ANY        ANY      ANY    /user/delete/{id}                                                                                                                                                                                                                                                                                         AppBundle:User:delete                                 
  app_user_export                                   ANY        ANY      ANY    /user/export                                                                                                                                                                                                                                                                                              AppBundle:User:exportUsersCsv                         
  app_comment                                       ANY        ANY      ANY    /comment                                                                                                                                                                                                                                                                                                  AppBundle:Comment:index                               
  app_comment_event                                 ANY        ANY      ANY    /comment/event/{id}                                                                                                                                                                                                                                                                                       AppBundle:Comment:indexEvent                          
  app_comment_article                               ANY        ANY      ANY    /comment/article/{id}                                                                                                                                                                                                                                                                                     AppBundle:Comment:indexArticle                        
  app_comment_grid                                  ANY        ANY      ANY    /commentGrid                                                                                                                                                                                                                                                                                              AppBundle:Comment:indexGrid                           
  app_comment_delete                                ANY        ANY      ANY    /comment/delete/{id}                                                                                                                                                                                                                                                                                      AppBundle:Comment:delete                              
  app_comment_read                                  ANY        ANY      ANY    /comment/read/{id}                                                                                                                                                                                                                                                                                        AppBundle:Comment:read                                
  app_stat_general                                  ANY        ANY      ANY    /stat/general                                                                                                                                                                                                                                                                                             AppBundle:Stat:general                                
  app_stat_general_chart1                           ANY        ANY      ANY    /stat/general/chart1                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart1                          
  app_stat_general_chart2                           ANY        ANY      ANY    /stat/general/chart2                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart2                          
  app_stat_general_chart3                           ANY        ANY      ANY    /stat/general/chart3                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart3                          
  app_stat_general_chart4                           ANY        ANY      ANY    /stat/general/chart4                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart4                          
  app_stat_general_chart5                           ANY        ANY      ANY    /stat/general/chart5                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart5                          
  app_stat_general_chart6                           ANY        ANY      ANY    /stat/general/chart6                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart6                          
  app_stat_general_chart7                           ANY        ANY      ANY    /stat/general/chart7                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart8                          
  app_stat_general_chart8                           ANY        ANY      ANY    /stat/general/chart8                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart8                          
  app_stat_general_chart9                           ANY        ANY      ANY    /stat/general/chart9                                                                                                                                                                                                                                                                                      AppBundle:Stat:generalChart9                          
  app_stat_general_chart10                          ANY        ANY      ANY    /stat/general/chart10                                                                                                                                                                                                                                                                                     AppBundle:Stat:generalChart10                         
  app_stat_general_chart11                          ANY        ANY      ANY    /stat/general/chart11                                                                                                                                                                                                                                                                                     AppBundle:Stat:generalChart11                         
  app_stat_general_chart12                          ANY        ANY      ANY    /stat/general/chart12                                                                                                                                                                                                                                                                                     AppBundle:Stat:generalChart12                         
  app_stat_general_chart13                          ANY        ANY      ANY    /stat/general/chart13                                                                                                                                                                                                                                                                                     AppBundle:Stat:generalChart13                         
  app_stat_general_chart14                          ANY        ANY      ANY    /stat/general/chart14                                                                                                                                                                                                                                                                                     AppBundle:Stat:generalChart14                         
  app_stat_content                                  ANY        ANY      ANY    /stat/content                                                                                                                                                                                                                                                                                             AppBundle:Stat:content                                
  app_stat_content_chart1                           ANY        ANY      ANY    /stat/content/chart1                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart1                          
  app_stat_content_chart2                           ANY        ANY      ANY    /stat/content/chart2                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart2                          
  app_stat_content_chart3                           ANY        ANY      ANY    /stat/content/chart3                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart3                          
  app_stat_content_chart4                           ANY        ANY      ANY    /stat/content/chart4                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart4                          
  app_stat_content_chart5                           ANY        ANY      ANY    /stat/content/chart5                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart5                          
  app_stat_content_chart6                           ANY        ANY      ANY    /stat/content/chart6                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart6                          
  app_stat_content_chart7                           ANY        ANY      ANY    /stat/content/chart7                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart7                          
  app_stat_content_chart8                           ANY        ANY      ANY    /stat/content/chart8                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart8                          
  app_stat_content_chart9                           ANY        ANY      ANY    /stat/content/chart9                                                                                                                                                                                                                                                                                      AppBundle:Stat:contentChart9                          
  app_stat_content_chart10                          ANY        ANY      ANY    /stat/content/chart10                                                                                                                                                                                                                                                                                     AppBundle:Stat:contentChart10                         
  app_stat_user                                     ANY        ANY      ANY    /stat/user                                                                                                                                                                                                                                                                                                AppBundle:Stat:user                                   
  app_stat_user_chart1                              ANY        ANY      ANY    /stat/user/chart1                                                                                                                                                                                                                                                                                         AppBundle:Stat:userChart1                             
  app_stat_user_chart2                              ANY        ANY      ANY    /stat/user/chart2                                                                                                                                                                                                                                                                                         AppBundle:Stat:userChart2                             
  app_stat_user_chart3                              ANY        ANY      ANY    /stat/user/chart3                                                                                                                                                                                                                                                                                         AppBundle:Stat:userChart3                             
  app_stat_user_chart4                              ANY        ANY      ANY    /stat/user/chart4                                                                                                                                                                                                                                                                                         AppBundle:Stat:userChart4                             
  app_stat_user_chart5                              ANY        ANY      ANY    /stat/user/chart5                                                                                                                                                                                                                                                                                         AppBundle:Stat:userChart5                             
  app_stat_cityhall                                 ANY        ANY      ANY    /stat/cityhall                                                                                                                                                                                                                                                                                            AppBundle:Stat:cityhall                               
  app_stat_cityhall_chart1                          ANY        ANY      ANY    /stat/cityhall/chart1                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart1                         
  app_stat_cityhall_chart2                          ANY        ANY      ANY    /stat/cityhall/chart2                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart2                         
  app_stat_cityhall_chart3                          ANY        ANY      ANY    /stat/cityhall/chart3                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart3                         
  app_stat_cityhall_chart4                          ANY        ANY      ANY    /stat/cityhall/chart4                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart4                         
  app_stat_cityhall_chart5                          ANY        ANY      ANY    /stat/cityhall/chart5                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart5                         
  app_stat_cityhall_chart6                          ANY        ANY      ANY    /stat/cityhall/chart6                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart6                         
  app_stat_cityhall_chart7                          ANY        ANY      ANY    /stat/cityhall/chart7                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart7                         
  app_stat_cityhall_chart8                          ANY        ANY      ANY    /stat/cityhall/chart8                                                                                                                                                                                                                                                                                     AppBundle:Stat:cityhallChart8                         
  app_admin                                         ANY        ANY      ANY    /admin                                                                                                                                                                                                                                                                                                    AppBundle:Admin:index                                 
  app_interestCategory                              ANY        ANY      ANY    /interestCategory                                                                                                                                                                                                                                                                                         AppBundle:InterestCategory:index                      
  app_interestCategory_grid                         ANY        ANY      ANY    /interestCategoryGrid                                                                                                                                                                                                                                                                                     AppBundle:InterestCategory:indexGrid                  
  app_interestCategory_add                          ANY        ANY      ANY    /interestCategory/add                                                                                                                                                                                                                                                                                     AppBundle:InterestCategory:add                        
  app_interestCategory_update                       ANY        ANY      ANY    /interestCategory/update/{id}                                                                                                                                                                                                                                                                             AppBundle:InterestCategory:update                     
  app_interestCategory_delete                       ANY        ANY      ANY    /interestCategory/delete/{id}                                                                                                                                                                                                                                                                             AppBundle:InterestCategory:delete                     
  app_category                                      ANY        ANY      ANY    /category                                                                                                                                                                                                                                                                                                 AppBundle:Category:index                              
  app_category_grid                                 ANY        ANY      ANY    /categoryGrid                                                                                                                                                                                                                                                                                             AppBundle:Category:indexGrid                          
  app_category_add                                  ANY        ANY      ANY    /category/add                                                                                                                                                                                                                                                                                             AppBundle:Category:add                                
  app_category_update                               ANY        ANY      ANY    /category/update/{id}                                                                                                                                                                                                                                                                                     AppBundle:Category:update                             
  app_category_delete                               ANY        ANY      ANY    /category/delete/{id}                                                                                                                                                                                                                                                                                     AppBundle:Category:delete                             
  app_reportingCategory                             ANY        ANY      ANY    /reportingCategory                                                                                                                                                                                                                                                                                        AppBundle:ReportingCategory:index                     
  app_reportingCategory_grid                        ANY        ANY      ANY    /reportingCategoryGrid                                                                                                                                                                                                                                                                                    AppBundle:ReportingCategory:indexGrid                 
  app_reportingCategory_add                         ANY        ANY      ANY    /reportingCategory/add                                                                                                                                                                                                                                                                                    AppBundle:ReportingCategory:add                       
  app_reportingCategory_update                      ANY        ANY      ANY    /reportingCategory/update/{id}                                                                                                                                                                                                                                                                            AppBundle:ReportingCategory:update                    
  app_reportingCategory_delete                      ANY        ANY      ANY    /reportingCategory/delete/{id}                                                                                                                                                                                                                                                                            AppBundle:ReportingCategory:delete                    
  app_numberCategory                                ANY        ANY      ANY    /numberCategory                                                                                                                                                                                                                                                                                           AppBundle:NumberCategory:index                        
  app_numberCategory_grid                           ANY        ANY      ANY    /numberCategoryGrid                                                                                                                                                                                                                                                                                       AppBundle:NumberCategory:indexGrid                    
  app_numberCategory_add                            ANY        ANY      ANY    /numberCategory/add                                                                                                                                                                                                                                                                                       AppBundle:NumberCategory:add                          
  app_numberCategory_update                         ANY        ANY      ANY    /numberCategory/update/{id}                                                                                                                                                                                                                                                                               AppBundle:NumberCategory:update                       
  app_numberCategory_delete                         ANY        ANY      ANY    /numberCategory/delete/{id}                                                                                                                                                                                                                                                                               AppBundle:NumberCategory:delete                       
  nelmio_api_doc_index                              GET        ANY      ANY    /api/doc/{view}                                                                                                                                                                                                                                                                                           NelmioApiDocBundle:ApiDoc:index                       
  fos_js_routing_js                                 GET        ANY      ANY    /js/routing.{_format}                                                                                                                                                                                                                                                                                     fos_js_routing.controller:indexAction                 
  fos_user_security_login                           GET|POST   ANY      ANY    /login                                                                                                                                                                                                                                                                                                    FOSUserBundle:Security:login                          
  fos_user_security_check                           POST       ANY      ANY    /login_check                                                                                                                                                                                                                                                                                              FOSUserBundle:Security:check                          
  fos_user_security_logout                          GET|POST   ANY      ANY    /logout                                                                                                                                                                                                                                                                                                   FOSUserBundle:Security:logout                         
  fos_user_resetting_request                        GET        ANY      ANY    /resetting/request                                                                                                                                                                                                                                                                                        FOSUserBundle:Resetting:request                       
  fos_user_resetting_send_email                     POST       ANY      ANY    /resetting/send-email                                                                                                                                                                                                                                                                                     FOSUserBundle:Resetting:sendEmail                     
  fos_user_resetting_check_email                    GET        ANY      ANY    /resetting/check-email                                                                                                                                                                                                                                                                                    FOSUserBundle:Resetting:checkEmail                    
  fos_user_resetting_reset                          GET|POST   ANY      ANY    /resetting/reset/{token}                                                                                                                                                                                                                                                                                  FOSUserBundle:Resetting:reset                         
  login                                             POST       ANY      ANY    /api/user/login.{_format}                                                                                                                                                                                                                                                                                                                                       
  api_user_login                                    POST       ANY      ANY    /api/user/login.{_format}                                                                                                                                                                                                                                                                                 ApiV1Bundle:User:login                                
  api_user_logout                                   GET        ANY      ANY    /api/user/logout.{_format}                                                                                                                                                                                                                                                                                ApiV1Bundle:User:logout                               
  api_user_lost_password                            GET        ANY      ANY    /api/user/reset_password.{_format}                                                                                                                                                                                                                                                                        ApiV1Bundle:User:lostPassword                         
  gesdinet_jwt_refresh_token                        ANY        ANY      ANY    /api/user/token/refresh.{_format}                                                                                                                                                                                                                                                                         gesdinet.jwtrefreshtoken:refresh                      
  api_user_refresh_token                            POST       ANY      ANY    /api/user/token/refresh.{_format}                                                                                                                                                                                                                                                                         ApiV1Bundle:User:refreshToken                         
  api_user_device_token                             POST       ANY      ANY    /api/user/deviceToken.{_format}                                                                                                                                                                                                                                                                           ApiV1Bundle:User:deviceToken                          
  api_user_device_token_delete                      POST       ANY      ANY    /api/user/deviceToken/delete.{_format}                                                                                                                                                                                                                                                                    ApiV1Bundle:User:deleteDeviceToken                    
  api_user_register                                 POST       ANY      ANY    /api/users.{_format}                                                                                                                                                                                                                                                                                      ApiV1Bundle:User:register                             
  api_user_show                                     GET        ANY      ANY    /api/user.{_format}                                                                                                                                                                                                                                                                                       ApiV1Bundle:User:show                                 
  api_user_associations                             GET        ANY      ANY    /api/user/associations.{_format}                                                                                                                                                                                                                                                                          ApiV1Bundle:User:associations                         
  api_user_merchants                                GET        ANY      ANY    /api/user/merchants.{_format}                                                                                                                                                                                                                                                                             ApiV1Bundle:User:merchants                            
  api_user_notifications                            GET        ANY      ANY    /api/user/notifications.{_format}                                                                                                                                                                                                                                                                         ApiV1Bundle:User:notifications                        
  api_user_notifications_participation              GET        ANY      ANY    /api/user/notifications/participation.{_format}                                                                                                                                                                                                                                                           ApiV1Bundle:User:participationNotif                   
  api_categories                                    GET        ANY      ANY    /api/categories.{_format}                                                                                                                                                                                                                                                                                 ApiV1Bundle:User:categories                           
  api_number_categories                             GET        ANY      ANY    /api/number/categories.{_format}                                                                                                                                                                                                                                                                          ApiV1Bundle:Default:numberCategories                  
  api_local_actor                                   GET        ANY      ANY    /api/localActor.{_format}                                                                                                                                                                                                                                                                                 ApiV1Bundle:Default:localActor                        
  api_cities                                        GET        ANY      ANY    /api/cities.{_format}                                                                                                                                                                                                                                                                                     ApiV1Bundle:Default:cities                            
  api_intercommunal_cities                          GET        ANY      ANY    /api/intercommunal/{city}.{_format}                                                                                                                                                                                                                                                                       ApiV1Bundle:Default:intercommunalCities               
  api_user_secondary_city                           POST       ANY      ANY    /api/user/profile/secondarycity.{_format}                                                                                                                                                                                                                                                                 ApiV1Bundle:User:addCity                              
  api_user_secondary_city_remove                    POST       ANY      ANY    /api/user/secondarycity/remove.{_format}                                                                                                                                                                                                                                                                  ApiV1Bundle:User:removeCity                           
  api_user_days                                     POST       ANY      ANY    /api/user/profile/days.{_format}                                                                                                                                                                                                                                                                          ApiV1Bundle:User:days                                 
  api_user_invitation                               POST       ANY      ANY    /api/user/invitation.{_format}                                                                                                                                                                                                                                                                            ApiV1Bundle:User:invitation                           
  api_user_childrens                                POST       ANY      ANY    /api/user/profile/childrens.{_format}                                                                                                                                                                                                                                                                     ApiV1Bundle:User:childrens                            
  api_user_interests                                POST       ANY      ANY    /api/user/profile/interests.{_format}                                                                                                                                                                                                                                                                     ApiV1Bundle:User:interests                            
  api_user_password                                 POST       ANY      ANY    /api/user/password.{_format}                                                                                                                                                                                                                                                                              ApiV1Bundle:User:password                             
  api_user_edit                                     POST       ANY      ANY    /api/user/edit.{_format}                                                                                                                                                                                                                                                                                  ApiV1Bundle:User:edit                                 
  api_user_advanced_search                          POST       ANY      ANY    /api/user/advanced/search.{_format}                                                                                                                                                                                                                                                                       ApiV1Bundle:User:advancedSearch                       
  api_signalement                                   POST       ANY      ANY    /api/reporting.{_format}                                                                                                                                                                                                                                                                                  ApiV1Bundle:Default:reporting                         
  api_signalement_categories                        GET        ANY      ANY    /api/reporting/categories.{_format}                                                                                                                                                                                                                                                                       ApiV1Bundle:Default:categoriesReporting               
  api_user_change_picture                           POST       ANY      ANY    /api/user/profile/picture.{_format}                                                                                                                                                                                                                                                                       ApiV1Bundle:User:saveUserImage                        
  api_user_contact                                  POST       ANY      ANY    /api/user/contact.{_format}                                                                                                                                                                                                                                                                               ApiV1Bundle:Default:contact                           
  api_user_number                                   GET        ANY      ANY    /api/user/number/{category}.{_format}                                                                                                                                                                                                                                                                     ApiV1Bundle:User:numbers                              
  api_interest_category                             GET        ANY      ANY    /api/interest/category.{_format}                                                                                                                                                                                                                                                                          ApiV1Bundle:Default:interestCategories                
  api_map_interest                                  GET        ANY      ANY    /api/user/map/interest.{_format}                                                                                                                                                                                                                                                                          ApiV1Bundle:User:mapInterest                          
  api_map_work                                      GET        ANY      ANY    /api/user/map/work.{_format}                                                                                                                                                                                                                                                                              ApiV1Bundle:User:work                                 
  api_user_associations_merchants                   GET        ANY      ANY    /api/associations/merchants.{_format}                                                                                                                                                                                                                                                                     ApiV1Bundle:User:associationsMerchants                
  api_user_save-associations-merchants-superadmin   POST       ANY      ANY    /api/associations/merchants/save/superadmin.{_format}                                                                                                                                                                                                                                                     ApiV1Bundle:User:saveAssociationsMerchantsSuperAdmin  
  api_user_delete-myAccount                         POST       ANY      ANY    /api/account/delete.{_format}                                                                                                                                                                                                                                                                             ApiV1Bundle:User:deleteMyAccount                      
 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 

