 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  Name                                              Method     Scheme   Host   Path                                                                                                                                                                                                                                                                                                      Controller                                            
  api_v1_comment_reply_event_delete                 ANY        ANY      ANY    /api/comment/{id}/{type}/event/reply/delete.{_format}                                                                                                                                                                                                                                                     ApiBundle:Comment:deleteEventCommentReply             
  api_v1_comment_article_update                     POST       ANY      ANY    /api/comment/{id}/{type}/article/update.{_format}                                                                                                                                                                                                                                                         ApiBundle:Comment:updateArticleComment                
  api_v1_comment_event_update                       POST       ANY      ANY    /api/comment/{id}/{type}/event/update.{_format}                                                                                                                                                                                                                                                           ApiBundle:Comment:updateEventComment                  
  api_v1_comment_reply_article_update               POST       ANY      ANY    /api/comment/{id}/{type}/article/reply/update.{_format}                                                                                                                                                                                                                                                   ApiBundle:Comment:updateArticleCommentReply           
  api_v1_comment_reply_event_update                 POST       ANY      ANY    /api/comment/{id}/{type}/event/reply/update.{_format}                                                                                                                                                                                                                                                     ApiBundle:Comment:updateEventCommentReply             
  api_v1_comment_association_article                GET        ANY      ANY    /api/comment/association/{id}/article/{page}/{limit}.{_format}                                                                                                                                                                                                                                            ApiBundle:Comment:associationArticlesComments         
  api_v1_comment_association_event                  GET        ANY      ANY    /api/comment/association/{id}/event/{page}/{limit}.{_format}                                                                                                                                                                                                                                              ApiBundle:Comment:associationEventsComments           
  api_v1_comment_merchant_article                   GET        ANY      ANY    /api/comment/merchant/{id}/article/{page}/{limit}.{_format}                                                                                                                                                                                                                                               ApiBundle:Comment:merchantArticlesComments            
  api_v1_comment_merchant_event                     GET        ANY      ANY    /api/comment/merchant/{id}/event/{page}/{limit}.{_format}                                                                                                                                                                                                                                                 ApiBundle:Comment:merchantEventsComments              
  api_v1_comment_read_article                       GET        ANY      ANY    /api/comment/read/{id}/article.{_format}                                                                                                                                                                                                                                                                  ApiBundle:Comment:markCommentsArticleAsRead           
  api_v1_comment_read_event                         GET        ANY      ANY    /api/comment/read/{id}/event.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Comment:markCommentsEventAsRead             
  api_v1_comment_article_list_delete                ANY        ANY      ANY    /api/comment/{id}/{type}/article/list/delete.{_format}                                                                                                                                                                                                                                                    ApiBundle:Comment:deleteArticleListComment            
  api_v1_comment_event_list_delete                  ANY        ANY      ANY    /api/comment/{id}/{type}/event/list/delete.{_format}                                                                                                                                                                                                                                                      ApiBundle:Comment:deleteEventListComment              
  api_v1_comment_list_article                       GET        ANY      ANY    /api/comment/article/{article}.{_format}                                                                                                                                                                                                                                                                  ApiBundle:Comment:articleComments                     
  api_v1_comment_list_event                         GET        ANY      ANY    /api/comment/event/{event}.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Comment:eventComments                       
  api_comment_list_event_pagination                 GET        ANY      ANY    /api/comment/event/{event}/pagination/{page}.{_format}                                                                                                                                                                                                                                                    ApiBundle:Comment:eventCommentsPagination             
  api_comment_list_article_pagination               GET        ANY      ANY    /api/comment/article/{article}/pagination/{page}.{_format}                                                                                                                                                                                                                                                ApiBundle:Comment:articleCommentsPagination           
  api_v1_event_list                                 GET        ANY      ANY    /api/event/{type}/{id}/{searchType}/{start}/{offset}.{_format}                                                                                                                                                                                                                                            ApiBundle:Event:list                                  
  api_v1_event_volunteers                           GET        ANY      ANY    /api/event/{event}/volunteers.{_format}                                                                                                                                                                                                                                                                   ApiBundle:Event:volunteers                            
  api_v1_event_mails                                POST       ANY      ANY    /api/event/volunteers/mails.{_format}                                                                                                                                                                                                                                                                     ApiBundle:Event:sendMails                             
